# snapshot of SPY daily bars taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted. The file starts on 2024-06-03 so the 20-day lookback is warm before the test window opens on 2024-09-03.
Date,Open,High,Low,Close
2025-10-10,664.956002,666.756583,645.871916,646.049988
2025-10-13,653.598507,658.03067,652.727895,655.962952
2025-10-14,650.155632,658.723232,646.198326,655.161621
2025-10-15,659.702664,663.076241,651.896864,658.070251
2025-10-16,659.702776,661.572618,650.096393,653.588745
2025-10-17,652.460824,658.654017,651.115354,657.298645
2025-10-20,660.197387,665.035209,660.147933,664.134888
2025-10-21,664.273362,665.806806,662.828924,664.124939
2025-10-22,664.827425,664.827425,656.220272,660.672241
2025-10-23,660.988803,665.529838,660.672211,664.589966
2025-10-24,669.239816,671.228312,668.438464,670.021362
2025-10-27,675.442806,678.222811,674.839332,677.926025
2025-10-28,679.716721,681.556853,677.520445,679.726624
2025-10-29,681.368922,682.338503,675.581386,680.053162
2025-10-30,676.600357,678.618561,672.573792,672.573792
2025-10-31,677.728203,677.767815,671.990121,674.780029
2025-11-03,678.351474,678.480091,672.682653,676.046387
2025-11-04,668.893546,672.70249,667.379908,668.032837
2025-11-05,667.775554,673.592799,666.974202,670.347839
2025-11-06,669.249681,670.150002,661.582401,663.155457
2025-11-07,660.781013,663.917221,654.152574,663.80835
2025-11-10,670.011503,674.898779,667.82513,674.166687
2025-11-11,672.692588,676.273945,671.485578,675.710022
2025-11-12,677.480861,677.64909,673.681881,676.085938
2025-11-13,673.236667,673.59281,663.363208,664.866943
2025-11-14,658.278102,668.448347,656.190637,664.758179
2025-11-17,662.552018,666.519227,655.102359,658.565002
2025-11-18,655.033066,658.020852,648.859679,653.034668
2025-11-19,653.727265,660.217245,651.718903,655.557495
2025-11-20,665.727665,668.349404,644.932063,645.565247
2025-11-21,648.058289,657.456891,643.903106,651.99585
2025-11-24,655.616775,662.908106,654.52854,661.592285
2025-11-25,661.493375,668.992486,657.387646,667.815186
2025-11-26,670.397369,674.423935,669.497048,672.425476
2025-11-28,673.5928,676.372805,673.236657,676.095825
2025-12-01,671.564717,675.700094,671.495457,673.009155
2025-12-02,674.641468,676.521212,672.079146,674.255676
2025-12-03,673.305944,677.599587,672.435332,676.590515
2025-12-04,677.985466,678.054726,674.067771,677.085205
2025-12-05,678.153594,681.04247,677.273139,678.371277
2025-12-08,679.261741,679.311196,674.295303,676.333313
2025-12-09,675.858384,678.074465,675.304363,675.749512
2025-12-10,675.274727,681.616283,674.038068,680.231262
2025-12-11,677.827133,681.89325,674.888802,681.814087
2025-12-12,680.824833,681.527277,671.920894,674.483276
2025-12-15,678.420769,678.440575,672.000049,673.464233
2025-12-16,671.980228,673.810518,667.77559,671.624084
2025-12-17,672.633136,673.177254,664.035887,664.233765
2025-12-18,670.367578,673.474077,667.696444,669.249634
2025-12-19,671.346369,675.811494,671.227243,675.315369
2025-12-22,678.639344,680.048322,675.315331,679.522461
2025-12-23,678.619507,682.866365,678.569906,682.628235
2025-12-24,682.61832,685.476005,682.469458,685.02948
2025-12-26,685.28742,686.299474,683.928043,684.959961
2025-12-29,682.211448,683.858617,680.75287,682.519043
2025-12-30,682.122139,683.223522,681.258887,681.685547
2025-12-31,681.814586,682.032851,676.426676,676.63501
2026-01-02,680.395659,681.546642,674.551292,677.875305
2026-01-05,681.219228,684.086845,681.060495,682.390076
2026-01-06,682.598491,686.954482,682.44969,686.448425
2026-01-07,686.825414,688.581716,683.977662,684.235657
2026-01-08,683.481544,685.267582,682.161835,684.166199
2026-01-09,685.277515,689.921237,683.838741,688.690857
2026-01-12,685.32714,690.695246,685.277539,689.7724
2026-01-13,690.09989,690.695277,685.991961,688.39325
2026-01-14,685.644576,686.358967,680.722995,685.009521
2026-01-15,689.18702,690.060205,685.892743,686.875061
2026-01-16,688.283999,688.869453,684.751592,686.2995
2026-01-20,676.208345,679.462953,671.326492,672.328674
2026-01-21,674.382637,683.402154,672.874398,680.088074
2026-01-22,684.503511,685.77362,681.596227,683.640259
2026-01-23,682.81678,685.605,681.834402,683.888367
2026-01-26,685.138576,688.75038,684.572986,687.361206
2026-01-27,688.800009,691.131832,688.194751,690.099854
2026-01-28,691.647706,692.431623,688.561824,690.030334
2026-01-29,690.992895,691.657686,679.522489,688.661072
2026-01-30,686.428519,688.829807,681.794729,686.607117
2026-02-02,684.235674,691.528686,684.07688,690.020447
2026-02-03,690.814257,691.558444,678.728661,684.186035
2026-02-04,684.999681,686.091192,676.476289,680.871948
2026-02-05,675.662563,678.39125,670.552452,672.368286
2026-02-06,676.178656,686.944544,675.573338,685.267639
2026-02-09,684.076917,690.476941,683.005331,688.571838
2026-02-10,689.564066,691.141709,686.299525,686.755981
2026-02-11,690.992889,691.737076,683.838745,686.597229
2026-02-12,688.859502,689.960885,675.097002,675.990051
2026-02-13,676.406837,680.961291,672.269172,676.46637
2026-02-17,674.868842,679.631629,670.542647,677.5578
2026-02-18,678.718825,683.809072,677.538045,680.971191
2026-02-19,678.540177,680.862008,676.267886,679.175171
2026-02-20,677.03191,684.711914,676.446456,684.086792
2026-02-23,682.499221,684.652386,675.097015,677.101379
2026-02-24,676.615175,683.015138,674.729876,682.022888
2026-02-25,684.831002,688.303876,684.751605,687.778015
2026-02-26,687.90702,687.926824,679.046176,683.957825
2026-02-27,677.795974,681.536714,676.357199,680.673462
2026-03-02,673.440014,683.283116,672.765291,681.060486
2026-03-03,669.828136,677.31961,664.469963,675.057312
2026-03-04,676.347255,681.764961,674.352823,679.820129
2026-03-05,676.793776,680.21705,670.373888,676.029724
2026-03-06,668.190931,670.870018,664.569256,667.168945
2026-03-09,661.225373,674.650482,657.256374,673.013306
2026-03-10,672.467495,678.063798,669.530474,671.931702
2026-03-11,672.328691,674.809316,668.121561,671.088379
2026-03-12,665.958399,666.444653,660.709419,660.897949
2026-03-13,664.083111,667.129325,656.23438,657.157166
2026-03-16,663.199984,666.861389,661.94974,663.844971
2026-03-17,667.178884,669.212984,664.509729,665.591248
2026-03-18,663.180117,664.529563,656.065703,656.303833
2026-03-19,651.878378,657.84181,650.092341,654.686462
2026-03-20,653.200946,653.380032,641.470333,645.300964
2026-03-23,654.753104,659.280158,650.643916,652.07666
2026-03-24,648.037146,653.718388,646.604402,649.887756
2026-03-25,655.350112,657.558954,650.942447,653.50946
2026-03-26,648.773463,651.549379,641.569964,641.838623
2026-03-27,639.261628,639.420794,629.918941,630.894043
2026-03-30,636.883655,637.142354,626.108285,628.784668
2026-03-31,635.719569,648.256037,634.764385,647.062134
2026-04-01,650.604166,655.200875,649.708678,651.937378
2026-04-02,643.16187,654.882525,641.858475,652.524475
2026-04-06,652.554231,656.394761,652.215979,655.608765
2026-04-07,653.340285,656.285327,647.778434,655.897278
2026-04-08,672.980812,673.667336,668.075668,672.602722
2026-04-09,671.43864,677.726732,670.374026,676.483032
2026-04-10,677.88595,678.592393,675.03042,676.035339
2026-04-13,673.995583,682.840789,673.16981,682.641785
2026-04-14,684.22382,691.079107,684.193942,690.959717
2026-04-15,691.755705,696.750422,690.70105,696.412109
2026-04-16,697.526462,699.237824,695.009245,698.123413
2026-04-17,702.580891,708.799389,702.202801,706.56073
2026-04-20,705.207522,706.331771,702.580814,705.147766
2026-04-21,706.700012,707.694972,699.098506,700.53125
2026-04-22,705.575691,707.864086,704.650325,707.625305
2026-04-23,705.923907,708.769477,698.740327,704.879211
2026-04-24,707.167568,710.868789,705.436348,710.341492
2026-04-27,709.575449,712.023072,708.709839,711.565369
2026-04-28,708.232255,709.28691,705.675201,708.102905
2026-04-29,707.416315,708.610278,704.799566,707.993408
2026-04-30,711.028064,716.162029,706.869139,715.03772
2026-05-01,717.614652,721.216401,716.838554,717.0177
2026-05-04,716.440606,718.480261,711.386194,714.390991
2026-05-05,718.13209,721.385567,717.853472,720.122009
2026-05-06,724.489821,730.887466,724.151569,730.131287
2026-05-07,731.34512,732.419694,726.071846,727.892639
2026-05-08,731.225717,734.359864,730.867546,733.902161
2026-05-11,732.738059,737.05615,732.738059,735.573669
2026-05-12,733.175874,735.116058,728.141381,734.459351
2026-05-13,734.74787,740.160454,731.762991,738.568542
2026-05-14,739.90181,745.752178,739.812237,744.398987
2026-05-15,738.051187,739.712813,734.240535,735.444397
2026-05-18,736.101047,737.682999,729.693504,734.927002
2026-05-19,731.076495,733.932024,727.842876,730.031738
2026-05-20,732.0018,738.130725,730.190966,737.513855
2026-05-21,734.917049,741.115628,733.315178,738.97644
2026-05-22,742.478726,745.16513,740.727588,741.881775
2026-05-26,746.22973,748.33904,744.597982,746.806824
2026-05-27,747.095295,747.592775,744.448669,746.677429
2026-05-28,746.468519,751.343846,745.453641,750.79657
2026-05-29,752.090081,754.259086,750.886158,752.667114
2026-06-01,751.55271,756.447956,750.886104,754.716675
2026-06-02,753.214401,756.567411,752.935783,755.741577
2026-06-03,754.328742,754.975429,749.77181,750.438416
2026-06-04,748.309148,754.48787,747.682319,753.274048
2026-06-05,748.518135,749.025574,731.822742,733.83252
2026-06-08,739.613227,741.583289,734.469303,735.49408
