# snapshot of daily closes taken on 2026-09-20 from Yahoo Finance, split and dividend adjusted, covering 2024-09-20 to 2026-09-18. Five hundred rows give the 499 daily returns the book reports.
Date,AAPL,MSFT,JPM,XOM,JNJ
2026-01-27,257.568878,477.550354,297.440979,134.139084,220.887146
2026-01-28,255.743881,478.593689,297.896545,134.874329,224.11525
2026-01-29,257.578888,430.767151,303.492615,137.746704,223.692047
2026-01-30,258.775635,427.577362,302.967682,138.619202,223.652664
2026-02-02,269.277069,420.701019,305.196198,135.678207,227.09729
2026-02-03,268.748505,408.617645,311.842072,140.903397,229.41008
2026-02-04,275.739441,411.578888,314.238922,144.687469,230.758392
2026-02-05,275.161011,391.188232,307.196869,143.207169,234.025818
2026-02-06,277.365021,398.611145,319.319946,146.118774,236.19101
2026-02-09,274.130798,410.992584,319.022827,148.236298,234.862366
2026-02-10,273.192444,410.664673,315.239288,148.60881,234.576981
2026-02-11,275.009216,401.82074,307.850586,152.500748,237.047241
2026-02-12,261.263763,399.306702,299.748718,147.961136,240.678833
2026-02-13,255.324356,398.790009,299.659546,146.50058,239.596237
2026-02-17,263.409943,394.358124,304.195801,144.270264,239.478134
2026-02-18,263.87912,397.080841,305.830048,148.701294,241.111877
2026-02-19,260.115784,396.851776,305.107025,148.987488,243.001465
2026-02-20,264.108673,395.62674,307.820862,145.345947,238.651443
2026-02-23,265.705811,382.918213,294.826233,148.780243,241.948395
2026-02-24,271.655243,387.429962,294.459717,147.299942,243.669952
2026-02-25,273.741516,398.983124,300.402374,147.10257,242.571716
2026-02-26,272.463776,400.098602,303.205383,146.589386,240.88974
2026-02-27,263.709412,391.154846,297.431061,150.497406,245.79718
2026-03-02,264.248413,396.941376,294.717255,152.194809,245.925797
2026-03-03,263.280182,402.299683,297.391449,149.836197,244.134979
2026-03-04,262.052338,403.564575,296.529785,147.8526,242.700348
2026-03-05,259.826324,409.02243,290.745544,148.780243,237.090439
2026-03-06,257.001343,407.309387,286.714447,149.22435,237.852264
2026-03-09,259.417053,407.757568,287.150269,148.464447,240.019073
2026-03-10,260.365356,404.122314,285.971619,146.184799,241.127213
2026-03-11,260.345398,403.24585,284.773163,149.589478,240.414825
2026-03-12,255.304398,400.238037,280.187439,151.51387,239.474899
2026-03-13,249.674438,393.953491,280.732147,154.069855,238.960419
2026-03-16,252.369644,398.335754,283.426147,155.165283,240.612717
2026-03-17,253.777115,397.797913,284.1492,156.724533,235.586548
2026-03-18,249.494766,390.20871,284.991028,155.520554,234.76535
2026-03-19,248.516525,387.44986,285.218872,156.083069,235.081955
2026-03-20,247.548233,380.328735,283.822327,157.573242,232.87558
2026-03-23,251.042007,381.454193,287.14032,159.014084,232.925049
